,Unnamed: 0,Unnamed: 0.1,country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,casesPerMil,deathsPerMil,totalTests,testsPerMil,population,alpha2,latitude,longitude
78,78,85,Ivory Coast,15813.0,0.0,99.0,0.0,10793.0,4921.0,0.0,598.0,4.0,98014.0,3709.0,26423629.0,BG,7.9897371,-5.5679458
79,79,87,Ethiopia,15810.0,0.0,253.0,0.0,6685.0,8872.0,66.0,137.0,2.0,403611.0,3505.0,115161304.0,MG,10.2116702,38.6521203
80,80,88,S. Korea,14269.0,18.0,300.0,0.0,13132.0,837.0,13.0,278.0,6.0,1556215.0,30352.0,51272771.0,SN,36.638392,127.6961188
81,81,89,Denmark,13634.0,0.0,614.0,0.0,12485.0,535.0,3.0,2353.0,106.0,1491115.0,257362.0,5793834.0,NO,55.670249,10.3333283
82,82,90,Sudan,11496.0,0.0,725.0,0.0,6001.0,4770.0,0.0,262.0,17.0,401.0,9.0,43921098.0,MY,14.5844444,29.4917691
83,83,92,French Guiana,7562.0,48.0,43.0,1.0,6106.0,1413.0,28.0,25276.0,144.0,37499.0,125343.0,299172.0,GF,,
84,84,93,Finland,7404.0,6.0,329.0,0.0,6920.0,155.0,0.0,1336.0,59.0,347472.0,62705.0,5541370.0,FI,63.2467777,25.9209164
85,85,94,Bosnia and Herzegovina,11127.0,0.0,316.0,0.0,5441.0,5370.0,0.0,3393.0,96.0,135760.0,41402.0,3279093.0,HT,44.3053476,17.5961467
86,86,95,Tajikistan,7276.0,41.0,60.0,0.0,6065.0,1151.0,0.0,762.0,6.0,0.0,0.0,9551601.0,TJ,38.6281733,70.8156541
87,87,96,Madagascar,10317.0,0.0,99.0,0.0,7117.0,3101.0,102.0,372.0,4.0,39864.0,1437.0,27740097.0,GA,-18.7561349,46.597324043086644
88,88,97,Senegal,9961.0,0.0,200.0,0.0,6655.0,3106.0,50.0,594.0,12.0,106267.0,6335.0,16774199.0,GN,14.4750607,-14.4529612
89,89,98,Norway,9172.0,0.0,255.0,0.0,8752.0,165.0,2.0,1691.0,47.0,435631.0,80307.0,5424545.0,LU,60.5000209,9.0999715
90,90,99,Malaysia,8964.0,8.0,124.0,0.0,8617.0,223.0,3.0,277.0,4.0,955133.0,29482.0,32397308.0,MR,4.5693754,102.2656823
91,91,100,Djibouti,5068.0,9.0,58.0,0.0,4992.0,18.0,0.0,5124.0,59.0,56721.0,57352.0,988994.0,DJ,11.8145966,42.8453061
92,92,101,French Guiana,7647.0,0.0,43.0,0.0,6176.0,1428.0,30.0,25557.0,144.0,38199.0,127664.0,299215.0,HR,,
93,93,102,Finland,7423.0,9.0,329.0,0.0,6950.0,144.0,0.0,1340.0,59.0,354342.0,63944.0,5541417.0,AL,63.2467777,25.9209164
94,94,104,Haiti,7378.0,7.0,159.0,1.0,4467.0,2752.0,0.0,646.0,14.0,17539.0,1537.0,11413066.0,ZM,19.1399952,-72.3570972
95,95,105,Gabon,7352.0,0.0,49.0,0.0,4943.0,2360.0,11.0,3298.0,22.0,75222.0,33741.0,2229412.0,PY,-0.8999695,11.6899699
96,96,106,Tajikistan,7320.0,0.0,60.0,0.0,6103.0,1157.0,0.0,766.0,6.0,0.0,0.0,9552775.0,HU,38.6281733,70.8156541
97,97,107,Guinea,7183.0,0.0,46.0,0.0,6404.0,733.0,24.0,546.0,3.0,14407.0,1095.0,13157090.0,GR,10.7226226,-10.7083587
98,98,108,Luxembourg,6533.0,0.0,114.0,0.0,4959.0,1460.0,5.0,10424.0,182.0,410443.0,654897.0,626729.0,LB,49.8158683,6.1296751
